channel,integral,time
5,307.9264,3787286263.5125437
5,363.09,3787286263.5135574
4,1350.2673,3787286263.515734
4,892.12,3787286263.526096
5,227.08702,3787286263.526096
5,1199.4579,3787286263.5303664
5,1574.3351,3787286263.530505
4,415.56653,3787286263.5370646
4,1181.4235,3787286263.547213
5,901.55194,3787286263.547213
4,1558.8392,3787286263.5514235
4,420.94254,3787286263.5605063
5,698.949,3787286263.561239
4,1153.7233,3787286263.562783
5,1387.1488,3787286263.562783
4,728.28766,3787286263.563765
5,796.27014,3787286263.5674276
5,351.99002,3787286263.572541
5,1321.8943,3787286263.577381
4,1154.9989,3787286263.577937
4,1289.5819,3787286263.5918884
5,1186.7882,3787286263.5918884
5,1148.0504,3787286263.5958023
5,1211.1185,3787286263.5958104
4,1280.2878,3787286263.6011233
5,305.01123,3787286263.6011233
4,986.5195,3787286263.61618
4,1150.0785,3787286263.628381
5,695.86566,3787286263.628381
5,1328.0609,3787286263.645431
4,1145.5225,3787286263.649205
5,1330.1351,3787286263.650876
4,1088.7552,3787286263.651366
4,794.5313,3787286263.6542935
5,1360.2397,3787286263.6648693
4,1164.7487,3787286263.6721807
5,1377.3381,3787286263.6721807
4,386.86395,3787286263.676582
5,841.7914,3787286263.682008
4,1360.1993,3787286263.684248
5,1335.1245,3787286263.685006
4,1171.7648,3787286263.6875825
5,696.9869,3787286263.6875825
5,713.9172,3787286263.697848
5,1051.4019,3787286263.70474
5,873.0171,3787286263.714545
5,1494.729,3787286263.7162075
4,919.09125,3787286263.7201023
4,1310.4482,3787286263.7207446
5,1123.0474,3787286263.724002
5,1335.3488,3787286263.7270894
5,324.63245,3787286263.733227
5,742.95654,3787286263.737895
4,893.669,3787286263.738539
4,512.7907,3787286263.742507
4,403.44766,3787286263.746437
5,446.39603,3787286263.746437
4,606.46124,3787286263.7483454
4,1353.4565,3787286263.760174
4,643.0912,3787286263.765051
4,703.4121,3787286263.7676907
4,913.89746,3787286263.770385
5,285.78247,3787286263.770385
5,1318.9791,3787286263.7745643
4,861.5039,3787286263.77861
5,1609.1487,3787286263.77861
4,1214.4998,3787286263.782521
5,1354.073,3787286263.782521
5,517.76117,3787286263.7872567
4,1190.0797,3787286263.7892632
5,679.0475,3787286263.800661
4,1317.7378,3787286263.8007946
5,1120.5247,3787286263.8007946
4,1328.3987,3787286263.808453
4,1334.5037,3787286263.8119783
5,1200.6913,3787286263.816551
5,2504.8286,3787286263.818184
5,689.5308,3787286263.822885
5,366.73395,3787286263.8246727
5,1831.2607,3787286263.824911
4,1305.5278,3787286263.8250875
5,1182.0231,3787286263.8257256
5,1168.4004,3787286263.826002
4,599.9007,3787286263.833441
5,299.5173,3787286263.833441
4,767.9245,3787286263.834223
4,1423.436,3787286263.8488584
